Time,Price
2019-11-13 11:42:59.999,8781.31
2019-11-13 11:43:59.999,8779.22
2019-11-13 11:44:59.999,8779.54
2019-11-13 11:45:59.999,8782.09
2019-11-13 11:46:59.999,8786.72
2019-11-13 11:47:59.999,8789.72
2019-11-13 11:48:59.999,8789.84
2019-11-13 11:49:59.999,8787.73
2019-11-13 11:50:59.999,8789.18
2019-11-13 11:51:59.999,8792.76
2019-11-13 11:52:59.999,8797.01
2019-11-13 11:53:59.999,8804.62
2019-11-13 11:54:59.999,8809.69
2019-11-13 11:55:59.999,8797.06
2019-11-13 11:56:59.999,8799.81
2019-11-13 11:57:59.999,8796.46
2019-11-13 11:58:59.999,8797.5
2019-11-13 11:59:59.999,8793.72
2019-11-13 12:00:59.999,8791.8
2019-11-13 12:01:59.999,8788.15
2019-11-13 12:02:59.999,8787.09
2019-11-13 12:03:59.999,8787.1
2019-11-13 12:04:59.999,8789.45
2019-11-13 12:05:59.999,8791.22
2019-11-13 12:06:59.999,8793.72
2019-11-13 12:07:59.999,8791.02
2019-11-13 12:08:59.999,8783.9
2019-11-13 12:09:59.999,8784.9
2019-11-13 12:10:59.999,8786.26
2019-11-13 12:11:59.999,8785.75
2019-11-13 12:12:59.999,8785.86
2019-11-13 12:13:59.999,8788.04
2019-11-13 12:14:59.999,8776.54
2019-11-13 12:15:59.999,8781.43
2019-11-13 12:16:59.999,8776.97
2019-11-13 12:17:59.999,8774.72
2019-11-13 12:18:59.999,8772.68
2019-11-13 12:19:59.999,8775.95
2019-11-13 12:20:59.999,8771.45
2019-11-13 12:21:59.999,8773.94
2019-11-13 12:22:59.999,8770.42
2019-11-13 12:23:59.999,8771.56
2019-11-13 12:24:59.999,8771.94
2019-11-13 12:25:59.999,8774.7
2019-11-13 12:26:59.999,8775.42
2019-11-13 12:27:59.999,8777.03
2019-11-13 12:28:59.999,8778.89
2019-11-13 12:29:59.999,8781.12
2019-11-13 12:30:59.999,8785.1
2019-11-13 12:31:59.999,8784.95
2019-11-13 12:32:59.999,8784.49
2019-11-13 12:33:59.999,8784.51
2019-11-13 12:34:59.999,8772.46
2019-11-13 12:35:59.999,8766.76
2019-11-13 12:36:59.999,8757.95
2019-11-13 12:37:59.999,8755.59
2019-11-13 12:38:59.999,8764.87
2019-11-13 12:39:59.999,8768.7
2019-11-13 12:40:59.999,8768.9
2019-11-13 12:41:59.999,8762.64
2019-11-13 12:42:59.999,8766.34
2019-11-13 12:43:59.999,8770.61
2019-11-13 12:44:59.999,8769.2
2019-11-13 12:45:59.999,8772.86
2019-11-13 12:46:59.999,8771.98
2019-11-13 12:47:59.999,8769.64
2019-11-13 12:48:59.999,8766.94
2019-11-13 12:49:59.999,8764.11
2019-11-13 12:50:59.999,8767.43
2019-11-13 12:51:59.999,8767.54
2019-11-13 12:52:59.999,8766.74
2019-11-13 12:53:59.999,8766.41
2019-11-13 12:54:59.999,8771.15
2019-11-13 12:55:59.999,8771.99
2019-11-13 12:56:59.999,8772.73
2019-11-13 12:57:59.999,8772.15
2019-11-13 12:58:59.999,8767.95
2019-11-13 12:59:59.999,8773.07
2019-11-13 13:00:59.999,8779.99
2019-11-13 13:01:59.999,8780.78
2019-11-13 13:02:59.999,8782.39
2019-11-13 13:03:59.999,8783.79
2019-11-13 13:04:59.999,8786.93
2019-11-13 13:05:59.999,8782.21
2019-11-13 13:06:59.999,8781.64
2019-11-13 13:07:59.999,8776.52
2019-11-13 13:08:59.999,8774.64
2019-11-13 13:09:59.999,8768.68
2019-11-13 13:10:59.999,8768.52
2019-11-13 13:11:59.999,8765.03
2019-11-13 13:12:59.999,8768.91
2019-11-13 13:13:59.999,8772.0
2019-11-13 13:14:59.999,8768.06
2019-11-13 13:15:59.999,8769.42
2019-11-13 13:16:59.999,8767.0
2019-11-13 13:17:59.999,8769.97
2019-11-13 13:18:59.999,8770.99
2019-11-13 13:19:59.999,8770.87
2019-11-13 13:20:59.999,8771.02
2019-11-13 13:21:59.999,8774.98
2019-11-13 13:22:59.999,8776.61
2019-11-13 13:23:59.999,8776.95
2019-11-13 13:24:59.999,8777.79
2019-11-13 13:25:59.999,8776.72
2019-11-13 13:26:59.999,8770.96
2019-11-13 13:27:59.999,8767.6
2019-11-13 13:28:59.999,8766.62
2019-11-13 13:29:59.999,8769.59
2019-11-13 13:30:59.999,8772.93
2019-11-13 13:31:59.999,8779.12
2019-11-13 13:32:59.999,8776.51
2019-11-13 13:33:59.999,8774.68
2019-11-13 13:34:59.999,8773.14
2019-11-13 13:35:59.999,8773.57
2019-11-13 13:36:59.999,8776.63
2019-11-13 13:37:59.999,8777.04
